img_url,model,price
https://hotline.ua//img/tx/263/263901373_s265.jpg,HP 15-dw1075ur (259P4EA),12737.0
https://hotline.ua//img/tx/268/268300657_s265.jpg,ASUS VivoBook 15 K513EQ Hearty Gold (K513EQ-BQ026),25994.0
https://hotline.ua//img/tx/244/244283593_s265.jpg,"Apple MacBook Air 13"" Space Gray Late 2020 (Z125000DL)",60297.0
https://hotline.ua//img/tx/238/238210333_s265.jpg,Xiaomi RedmiBook 16 i5 10th 16/512Gb/MX350 (JYU4285CN),23478.0
https://hotline.ua//img/tx/234/234370904_s265.jpg,HUAWEI MateBook X Pro 2020 Emerald Green (53010VUL),51999.0
https://hotline.ua//img/tx/267/267582363_s265.jpg,HP OMEN X 2S 15-dg0010nr (6UA82UA),39962.0
https://hotline.ua//img/tx/266/266147807_s265.jpg,ASUS ROG Strix G17 G712LWS (G712LW-ES74),58839.0
https://hotline.ua//img/tx/244/244673123_s265.jpg,Lenovo Legion 5 15ARH05 Black (82B500KHRA),26770.0
https://hotline.ua//img/tx/262/262359002_s265.jpg,Lenovo Legion Y540-15 (81SX018UPB),29263.0
https://hotline.ua//img/tx/266/266303461_s265.jpg,MSI GF65 Thin 9SEXR (GF659SEXR-674XUA),32904.0
https://hotline.ua//img/tx/267/267636473_s265.jpg,Lenovo Legion 5 17ARH05H Phantom Black (82GN002MRA),40221.0
https://hotline.ua//img/tx/267/267515046_s265.jpg,ASUS Zephyrus G GA502DU (GA502DU-PB73),29687.0
https://hotline.ua//img/tx/244/244562452_s265.jpg,ASUS ZenBook 14 UM425IA Lilac Mist (UM425IA-AM074),34196.0
https://hotline.ua//img/tx/174/174436407_s265.jpg,"Apple MacBook Pro 15"" Space Gray 2018 (MR932, 5R932)",58328.0
https://hotline.ua//img/tx/264/264996873_s265.jpg,Dell G7 7700 (GN7700EHYYH),52886.0
https://hotline.ua//img/tx/238/238227471_s265.jpg,Xiaomi RedmiBook 14 II i7 10th 16/512Gb/MX350 Silver (JYU4312CN),25439.0
https://hotline.ua//img/tx/261/261147962_s265.jpg,ASUS TUF Gaming FX505DY (FX505DY-WH51),19649.0
https://hotline.ua//img/tx/227/227100756_s265.jpg,"Apple MacBook Pro 13"" Space Gray 2020 (MXK52)",39371.0
https://hotline.ua//img/tx/238/238210432_s265.jpg,Xiaomi RedmiBook 16 Ryzen 7 16/512GB Radeon RX Vega (JYU4279CN),28067.0
https://hotline.ua//img/tx/265/265589794_s265.jpg,Acer Aspire 7 A715-75G-749E Charcoal Black (NH.Q88EU.00M),29888.0
https://hotline.ua//img/tx/197/197405566_s265.jpg,"Apple MacBook Pro 15"" Space Gray 2019 (MV902)",66753.0
https://hotline.ua//img/tx/238/238232975_s265.jpg,Xiaomi RedmiBook 13 Ryzen 5 16/512GB Radeon RX Vega6 Silver (JYU4251CN),19593.0
https://hotline.ua//img/tx/262/262520234_s265.jpg,"Microsoft Surface Pro X Matte Black (MJX-00003, MJX-00001)",29708.0
https://hotline.ua//img/tx/266/266291297_s265.jpg,Lenovo V15-ADA Iron Grey (82C70010RA),14931.0
https://hotline.ua//img/tx/230/230014780_s265.jpg,Vinga Iron S140 (S140-P508256G),12006.0
https://hotline.ua//img/tx/262/262498356_s265.jpg,Lenovo IdeaPad 5 14ITL05 Graphite Grey (82FE00FJRA),28111.0
https://hotline.ua//img/tx/267/267608212_s265.jpg,MSI GL65 Leopard 10SDR (GL6510SDR-021NE),32583.0
https://hotline.ua//img/tx/265/265997203_s265.jpg,ASUS X509JB Grey (X509JB-EJ063),15831.0
https://hotline.ua//img/tx/266/266198091_s265.jpg,ASUS VivoBook S15 M533IA Grey (M533IA-BQ007),20274.0
https://hotline.ua//img/tx/234/234370904_s265.jpg,HUAWEI MateBook X Pro 2020 Emerald Green (53010VUL),51999.0
https://hotline.ua//img/tx/266/266198091_s265.jpg,ASUS VivoBook S15 M533IA Grey (M533IA-BQ007),20274.0
https://hotline.ua//img/tx/264/264644036_s265.jpg,Acer Swift 1 SF114-33 Silver (NX.HYSEU.00C),14719.0
https://hotline.ua//img/tx/182/182109589_s265.jpg,"Apple MacBook Air 13"" Gold 2018 (MREE2, 5REE2)",26482.0
https://hotline.ua//img/tx/262/262379291_s265.jpg,Razer Blade 15 (RZ09-03289E21-R3U1),45006.0
https://hotline.ua//img/tx/238/238232933_s265.jpg,Xiaomi RedmiBook 13 Ryzen 7 16/1TGB Radeon RX Vega7 Grey (JYU4266CN),23143.0
https://hotline.ua//img/tx/267/267822325_s265.jpg,MSI GL65 Leopard 10SDR (GL6510SDR-221US),33986.0
https://hotline.ua//img/tx/265/265968771_s265.jpg,HP Pavilion Gaming 15-ec1003ua Shadow Black/Green Chrome (1U6A8EA),22999.0
https://hotline.ua//img/tx/268/268293744_s265.jpg,Razer Blade 15 (RZ09-03286E22-R3U1),44687.0
https://hotline.ua//img/tx/268/268054235_s265.jpg,Acer Nitro 5 AN515-54-728C (NH.Q96AA.003),35367.0
https://hotline.ua//img/tx/262/262356772_s265.jpg,ASUS VivoBook S14 M433IA (M433IA-HM493),25034.0
https://hotline.ua//img/tx/266/266147842_s265.jpg,ASUS TUF Gaming A17 TUF706IU (TUF706IU-AS76),38328.0
https://hotline.ua//img/tx/262/262027211_s265.jpg,HP Pavilion Gaming 15-ec0000ua Shadow Black/Chrome (9RG77EA),19499.0
https://hotline.ua//img/tx/268/268062322_s265.jpg,ASUS ROG Zephyrus G14 GA401IV (GA401IV-HE195T),57974.0
https://hotline.ua//img/tx/258/258143459_s265.jpg,Xiaomi Redmi G Gaming 16 i5 10th 16GB 512GB 1650Ti 4Gb (JYU4304CN),30277.0
https://hotline.ua//img/tx/262/262128284_s265.jpg,GIGABYTE Aorus 15G (YC-8EE2450SH),76232.0
https://hotline.ua//img/tx/268/268293736_s265.jpg,Lenovo IdeaPad 3 15IIL05 Platinum Grey (81WE00Q2RA),15668.0
https://hotline.ua//img/tx/262/262355369_s265.jpg,Lenovo IdeaPad 3 14IIL Red (81WD00SPRA),14113.0
https://hotline.ua//img/tx/265/265512060_s265.jpg,ASUS E410MA Peacock Blue (E410MA-EB009),10054.0
https://hotline.ua//img/tx/224/224468858_s265.jpg,Acer Aspire 5 A515-43-R19L (NX.HG8AA.001),15034.0
https://hotline.ua//img/tx/237/237354384_s265.jpg,Xiaomi RedmiBook 14 II R5/8/512/W (JYU4232CN),19225.0
https://hotline.ua//img/tx/268/268310705_s265.jpg,ASUS VivoBook 15 K513EA Indie Black (K513EA-BQ158),20499.0
https://hotline.ua//img/tx/268/268293780_s265.jpg,Lenovo V15-ADA Iron Grey (82C700AKRA),16999.0
https://hotline.ua//img/tx/268/268095190_s265.jpg,Acer Aspire 3 A315-34 (NX.HE3EU.004),10632.0
https://hotline.ua//img/tx/267/267944827_s265.jpg,Lenovo IdeaPad 3 15IML05 Platinum Grey (81WB00PCRA),13546.0
